Forma;Lemma originale;Lemma corretto;Postag originale;Postag corretto;Tipo modifica
διαστάντων;['διαστάζω'];['διίστημι'];['v-pfpamg-'];['v-pfpamg-'];lemma
διαστολῆς;['διαστολή', 'διαστολεύς'];['διαστολή'];['n-s---fg-'];['n-s---fg-'];lemma
διαψηφίζεσθαι;['διαψηφίζομαι', 'διαψηφίζω'];['διαψηφίζω'];['v--pne---'];['v--pne---'];lemma
διαψηφίσασθαι;['διαψηφίζομαι', 'διαψηφίζω'];['διαψηφίζω'];['v--anm---'];['v--anm---'];lemma
διδῶσιν;['δίδημι'];['δίδωμι'];['v3ppsa---'];['v3ppsa---'];lemma
διείλεγμαι;['διά-λέγω2'];['διαλέγω'];['v1srie---'];['v1srie---'];lemma
διείλεχθε;['διά-λέγω2'];['διαλέγω'];['v2prme---'];['v2prme---'];lemma
διείργοντος;['διείργω'];['διέργω'];['v-sppamg-', 'v-sppang-'];['v-sppamg-', 'v-sppang-'];lemma
διεδέξατο;['διαδέχομαι', 'διαδείκνυμι'];['διαδέχομαι'];['v3saim---'];['v3saim---'];lemma
διειλέγμεθα;['διά-λέγω2'];['διαλέγω'];['v1prie---'];['v1prie---'];lemma
διειλέχθαι;['διά-λέγω2'];['διαλέγω'];['v--rne---'];['v--rne---'];lemma
διεκβάλλειν;['διά-ἐκβάλλω'];['διεκβάλλω'];['v--pna---'];['v--pna---'];lemma
διεκβαλεῖν;['διά-ἐκβάλλω'];['διεκβάλλω'];['v--ana---'];['v--ana---'];lemma
διεκλείσθη;['διά-κλείω1'];['διακλείω'];['v3saip---'];['v3saip---'];lemma
διεκυβέρνησε;['διά-κυβερνάω'];['διακυβερνάω'];['v3saia---'];['v3saia---'];lemma
διενοεῖτο;['διανοέομαι', 'διανοέω'];['διανοέω'];['v3siie---'];['v3siie---'];lemma
διεξίκοιτο;['διά-ἐξικνέομαι'];['διεξικνέομαι'];['v3saom---'];['v3saom---'];lemma
διεξαγαγόντες;['διά-ἐξάγω'];['διεξάγω'];['v-papamn-'];['v-papamn-'];lemma
διεξιὼν;['διέξειμι', 'διεξέρχομαι'];['διέξειμι'];['v-sppamn-'];['v-sppamn-'];lemma
διεξῆγεν;['διά-ἐξάγω'];['διεξάγω'];['v3siia---'];['v3siia---'];lemma
διερειδομένων;['διερείδομαι'];['διερείδω'];['v-pppemg-'];['v-pppemg-'];lemma
διεσκώπτετο;['διασκώπτομαι'];['διασκώπτω'];['v3siie---'];['v3siie---'];lemma
διεστυλωκέναι;['διά-στυλόω'];['διαστυλόω'];['v--rna---'];['v--rna---'];lemma
διεχρήσαντο;['διά-χράω2'];['διαχράομαι'];['v3paim---'];['v3paim---'];lemma
διεχρήσατο;['διά-χράω2'];['διαχράομαι'];['v3saim---'];['v3saim---'];lemma
διεῖπε;['διεῖπον'];['διαλέγω'];['v3saia---'];['v3saia---'];lemma
διηγείρετο;['διά-ἐγείρω'];['διεγείρω'];['v3siie---'];['v3siie---'];lemma
δικαίας;['δίκαιος', 'δικαία'];['δίκαιος'];['a-p---fa-', 'a-s---fg-', 'n-p---fa-'];['a-p---fa-', 'a-s---fg-', 'n-p---fa-'];lemma
δικτατωρίαις;['δικτατωρία'];['δικτατωρεία'];['n-p---fd-'];['n-p---fd-'];lemma
διοίγων;['διοίγνυμι'];['διοίγω'];['v-sppamn-'];['v-sppamn-'];lemma
διπλάσιον;['διπλάσιος', 'διπλασίων'];['διπλάσιος'];['a-s---na-', 'a-s---nn-'];['a-s---na-', 'a-s---nn-'];lemma
διπλασίονα;['διπλασίων'];['διπλάσιος'];['a-p---na-', 'a-s---ma-'];['a-p---na-', 'a-s---ma-'];lemma
διπλῶν;['διπλός'];['διπλόος'];['a-p---ng-'];['a-p---ng-'];lemma
διψᾶν;['δίψα'];['διψάω'];['n-s---fa-'];['n-s---fa-'];lemma
διωλοφύρετο;['διά-ὀλοφύρομαι'];['διολοφύρομαι'];['v3siie---'];['v3siie---'];lemma
διωρίζετο;['διά-ὠρίζω'];['διορίζω'];['v3siie---'];['v3siie---'];lemma
διωρίζοντο;['διά-ὠρίζω'];['διορίζω'];['v3piie---'];['v3piie---'];lemma
διωρίκαμεν;['διά-ὁρίζω'];['διορίζω'];['v1pria---'];['v1pria---'];lemma
διωρίσασθε;['διά-ὁρίζω'];['διορίζω'];['v2paim---'];['v2paim---'];lemma
διωρίσθαι;['διά-ὁρίζω'];['διορίζω'];['v--rne---'];['v--rne---'];lemma
διωρίσθω;['διά-ὁρίζω'];['διορίζω'];['v3srme---'];['v3srme---'];lemma
διωργίσθησαν;['διά-ὀργίζω'];['διοργίζω'];['v3paip---'];['v3paip---'];lemma
διωργισμένων;['διά-ὀργίζω'];['διοργίζομαι'];['v-prpemg-'];['v-prpemg-'];lemma
διωρισμένα;['διά-ὁρίζω'];['διορίζω'];['v-prpena-'];['v-prpena-'];lemma
διωρισμένοι;['διά-ὁρίζω'];['διορίζω'];['v-prpemn-'];['v-prpemn-'];lemma
διωρισμένων;['διά-ὁρίζω'];['διορίζω'];['v-prpeng-'];['v-prpeng-'];lemma
διώριζε;['διά-ὁρίζω'];['διορίζω'];['v3siia---'];['v3siia---'];lemma
διώρικεν;['διά-ὁρίζω'];['διορίζω'];['v3sria---'];['v3sria---'];lemma
διώρισεν;['διά-ὁρίζω'];['διορίζω'];['v3saia---'];['v3saia---'];lemma
διώρισται;['διά-ὁρίζω'];['διορίζω'];['v3srie---'];['v3srie---'];lemma
διὰ;['διά', 'διὰ'];['διά'];['r--------'];['r--------'];lemma
διᾴττοντος;['διαίσσω'];['διᾴσσω'];['v-sppamg-'];['v-sppamg-'];lemma
διᾴττουσι;['διαίσσω'];['διᾴσσω'];['v-pppamd-'];['v-pppamd-'];lemma
διᾴττων;['διαίσσω'];['διᾴσσω'];['v-sppamn-'];['v-sppamn-'];lemma
δι᾽;['διά', 'διάπλοο', 'διό'];['διά'];['r--------'];['r--------'];lemma
διῃτώμην;['διά-διαιτάω'];['διαιτέω'];['v1siie---'];['v1siie---'];lemma
διῆρε;['διαίρεω', 'διαίρω'];['διαίρεω'];['v3saia---'];['v3saia---'];lemma
δοκούντων;['δοκέω', 'δοκόω'];['δοκέω'];['v-pppamg-', 'v-pppang-'];['v-pppamg-', 'v-pppang-'];lemma
δοκούσης;['δοκέω', 'δοκόω'];['δοκέω'];['v-sppafg-'];['v-sppafg-'];lemma
δοκοῦν;['δοκέω', 'δοκόω'];['δοκέω'];['v--pna---', 'v-sppana-', 'v-sppann-'];['v--pna---', 'v-sppana-', 'v-sppann-'];lemma
δοκοῦντα;['δοκέω', 'δοκόω'];['δοκέω'];['v-pppana-', 'v-pppann-', 'v-sppama-'];['v-pppana-', 'v-pppann-', 'v-sppama-'];lemma
δοκοῦντας;['δοκέω', 'δοκόω'];['δοκέω'];['v-pppama-'];['v-pppama-'];lemma
δοκοῦντες;['δοκέω', 'δοκόω'];['δοκέω'];['v-pppamn-'];['v-pppamn-'];lemma
δοκοῦσαν;['δοκόω'];['δοκέω'];['v-sppafa-'];['v-sppafa-'];lemma
δοκοῦσιν;['δοκέω', 'δοκόω'];['δοκέω'];['v-pppamd-', 'v-pppand-', 'v3ppia---'];['v-pppamd-', 'v-pppand-', 'v3ppia---'];lemma
δοκῇ;['δοκάζω', 'δοκέω', 'δοκεύς'];['δοκέω'];['n-s---md-', 'v3sfia---', 'v3spsa---'];['n-s---md-', 'v3sfia---', 'v3spsa---'];lemma
δοκῶ;['δοκέω', 'δοκόω'];['δοκέω'];['v1spia---', 'v1spsa---'];['v1spia---', 'v1spsa---'];lemma
δοκῶν;['δοκάζω', 'δοκέω'];['δοκέω'];['v-sfpamv-', 'v-sppamn-'];['v-sfpamv-', 'v-sppamn-'];lemma
δοκῶσι;['δοκάω', 'δοκέω'];['δοκέω'];['v3ppsa---'];['v3ppsa---'];lemma
δοκῶσιν;['δοκάω', 'δοκέω'];['δοκέω'];['v3ppsa---'];['v3ppsa---'];lemma
δορυφόροισι;['δορυφόρος', 'δορύφορος'];['δορυφόρος'];['a-p---md-'];['a-p---md-'];lemma
δορυφόρους;['δορυφόρος', 'δορύφορος'];['δορυφόρος'];['a-p---ma-'];['a-p---ma-'];lemma
δορυφόρων;['δορυφόρος', 'δορύφορος'];['δορυφόρος'];['a-p---mg-'];['a-p---mg-'];lemma
δουλείας;['δουλεία', 'δούλειος'];['δούλειος'];['a-s---fg-', 'n-p---fa-', 'n-s---fg-'];['a-s---fg-', 'n-p---fa-', 'n-s---fg-'];lemma
δουλοσύνη;['δουλόσύνη'];['δουλοσύνη'];['n-s---fn-'];['n-s---fn-'];lemma
δουλοσύνην;['δουλοσύνη', 'δουλόσύνη'];['δουλοσύνη'];['n-s---fa-'];['n-s---fa-'];lemma
δουλοσύνης;['δουλοσύνη', 'δουλόσύνη'];['δουλοσύνη'];['n-s---fg-'];['n-s---fg-'];lemma
δούλαις;['δούλη', 'δοῦλος'];['δούλη'];['n-p---fd-'];['n-p---fd-'];lemma
δούλη;['δούλη', 'δοῦλος'];['δούλη'];['n-s---fn-'];['n-s---fn-'];lemma
δούλης;['δούλη', 'δοῦλος'];['δούλη'];['n-s---fg-'];['n-s---fg-'];lemma
δραχμῶν;['δραχμή', 'δραχμός'];['δραχμή'];['n-p---fg-', 'n-p---mg-'];['n-p---fg-', 'n-p---mg-'];lemma
δυναίμεθʼ;['δύναμαι', 'δύνομαι'];['δύναμαι'];['v1ppoe---'];['v1ppoe---'];lemma
δυνατῶν;['δυνάτης', 'δυνατός'];['δυνατός'];['a-p---mg-', 'a-p---ng-', 'n-p---mg-'];['a-p---mg-', 'a-p---ng-', 'n-p---mg-'];lemma
δυνησόμενον;['δύναμαι'];['δυνάμαι'];['v-sfpmma-'];['v-sfpmma-'];lemma
δυόμενον;['δύω2'];['δύω'];['v-sppema-'];['v-sppema-'];lemma
δυῶν;['δυό', 'δύο'];['δύο'];['a-p---fg-', 'a-p---mg-', 'a-p---ng-', 'n-p---ng-'];['a-p---fg-', 'a-p---mg-', 'a-p---ng-', 'n-p---ng-'];lemma
δωρεὰν;['δωρεά', 'δωρεάν'];['δωρεά'];['d--------', 'n-s---fa-'];['d--------', 'n-s---fa-'];lemma
δωρεῖσθαι;['δωρέομαι', 'δωρέω'];['δωρέω'];['v--pne---'];['v--pne---'];lemma
δωρησάμενος;['δωρέομαι'];['δωρέω'];['v-sapemn-'];['v-sapemn-'];lemma
δωρησαμένου;['δωρέομαι'];['δωρέω'];['v-sapemg-'];['v-sapemg-'];lemma
δόξης;['δόξα', 'δόξις'];['δόξα'];['n-p---fn-', 'n-s---fg-'];['n-p---fn-', 'n-s---fg-'];lemma
δόξω;['δοκέω', 'δοξόω'];['δοκέω'];['v1sasa---', 'v1sfia---'];['v1sasa---', 'v1sfia---'];lemma
δόξῃ;['δοκέω', 'δόξα', 'δόξις'];['δοκέω', 'δόξα'];['n-s---fd-', 'v3sasa---'];['n-s---fd-', 'v3sasa---'];lemma
δύεσθαι;['δύω2'];['δύω'];['v--pne---'];['v--pne---'];lemma
δύναιτ᾽;['δύναμαι', 'δύω2'];['δύναμαι'];['v2paoa---', 'v3spoe---'];['v2paoa---', 'v3spoe---'];lemma
δύναντος;['δύω2'];['δύναμαι'];['v-sapamg-'];['v-sapamg-'];lemma
δύνειν;['δύω2'];['δύω'];['v--pna---'];['v--pna---'];lemma
δύνοντι;['δύω2'];['δύω'];['v-sppamd-'];['v-sppamd-'];lemma
δύνοντος;['δύω2'];['δύω'];['v-sppamg-'];['v-sppamg-'];lemma
δύνωνται;['δύναμαι', 'δύωνομαι'];['δύναμαι'];['v3ppse---'];['v3ppse---'];lemma
δὲ;['δέ', 'δὲ', 'οὐδέ'];['δέ'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
δᾳσὶν;['δαίς1'];['δαίς'];['n-p---fd-'];['n-p---fd-'];lemma
δᾷδα;['δαίς', 'δαίς1'];['δαίς'];['n-s---fa-'];['n-s---fa-'];lemma
δᾷδας;['δαίς1'];['δαίς'];['n-p---fa-'];['n-p---fa-'];lemma
δῆσαι;['δέω1', 'δέω2'];['δέω'];['v--ana---', 'v2samm---'];['v--ana---', 'v2samm---'];lemma
εἰδότως;['εἰδότως'];['οἶδα'];['d--------'];['d--------'];lemma
εἰδὼς;['εἰδοί', 'οἶδα'];['οἶδα'];['n-p---ma-', 'v-srpamn-'];['n-p---ma-', 'v-srpamn-'];lemma
εἰκοστὴν;['εἰκοστή', 'εἰκοστός'];['εἰκοστός'];['a-s---fa-', 'n-s---fa-'];['a-s---fa-', 'n-s---fa-'];lemma
εἰκοστῇ;['εἰκοστή', 'εἰκοστός'];['εἰκοστός'];['a-s---fd-'];['a-s---fd-'];lemma
εἰκός;['εἰκός', 'ἔοικα'];['ἔοικα'];['n-s---nn-', 'v-srpana-', 'v-srpann-'];['n-s---nn-', 'v-srpana-', 'v-srpann-'];lemma
εἰκότα;['εἰκός', 'ἔοικα'];['ἔοικα'];['v-prpana-', 'v-prpann-', 'v-srpama-'];['v-prpana-', 'v-prpann-', 'v-srpama-'];lemma
εἰκότερον;['εἰκότως'];['ἐοικότως'];['d-------c'];['d-------c'];lemma
εἰκότως;['εἰκότως', 'ἐικότως', 'ἐοικότως'];['ἐοικότως'];['d--------'];['d--------'];lemma
εἰκὸς;['εἰκός', 'ἔοικα'];['ἔοικα'];['v-srpana-', 'v-srpann-'];['v-srpana-', 'v-srpann-'];lemma
εἰπάτω;['εἶπον'];['λέγω'];['v3sama---'];['v3sama---'];lemma
εἰπέ;['εἶπον'];['λέγω'];['v2sama---'];['v2sama---'];lemma
εἰπεῖν;['εἶπον', 'λέγω'];['λέγω'];['v--ana---'];['v--ana---'];lemma
εἰπούσης;['εἶπον'];['λέγω'];['v-sapafg-'];['v-sapafg-'];lemma
εἰποῦσα;['εἶπον'];['λέγω'];['v-sapafn-'];['v-sapafn-'];lemma
εἰπόντα;['εἶπον'];['λέγω'];['v-sapama-'];['v-sapama-'];lemma
εἰπόντας;['εἶπον'];['λέγω'];['v-papama-'];['v-papama-'];lemma
εἰπόντες;['εἶπον', 'λέγω'];['λέγω'];['v-papamn-'];['v-papamn-'];lemma
εἰπόντος;['εἶπον'];['λέγω'];['v-sapamg-'];['v-sapamg-'];lemma
εἰπὲ;['εἶπον'];['λέγω'];['v2sama---'];['v2sama---'];lemma
εἰπὼν;['εἶπον'];['λέγω'];['v-sapamn-'];['v-sapamn-'];lemma
εἰρήκαμεν;['ἐρῶ'];['λέγω'];['v1pria---'];['v1pria---'];lemma
εἰρήκασι;['ἐρῶ'];['λέγω'];['v3pria---'];['v3pria---'];lemma
εἰρήκασιν;['ἐρῶ'];['λέγω'];['v3pria---'];['v3pria---'];lemma
εἰρήκει;['ἐρῶ'];['λέγω'];['v3slia---'];['v3slia---'];lemma
εἰρήσεται;['ἔρομαι'];['λέγω'];['v3sfim---'];['v3sfim---'];lemma
εἰρήσθω;['εἰρέω', 'ἐρῶ'];['λέγω'];['v3spme---', 'v3srme---'];['v3spme---', 'v3srme---'];lemma
εἰργμένοι;['ἔργνυμι'];['ἔργω'];['v-prpemn-'];['v-prpemn-'];lemma
εἰργομένων;['ἔργω1'];['ἔργω'];['v-pppemg-'];['v-pppemg-'];lemma
εἰργόμενοι;['ἔργω1'];['ἔργω'];['v-pppemn-'];['v-pppemn-'];lemma
εἰργόμενον;['ἔργω1'];['ἔργω'];['v-sppema-'];['v-sppema-'];lemma
εἰργόμενος;['ἔργω1'];['ἔργω'];['v-sppemn-'];['v-sppemn-'];lemma
εἰργόντων;['ἔργω1'];['ἔργω'];['v-pppamg-'];['v-pppamg-'];lemma
εἰρηκέναι;['ἐρῶ'];['λέγω'];['v--rna---'];['v--rna---'];lemma
εἰρηκότα;['ἐρῶ'];['λέγω'];['v-srpama-'];['v-srpama-'];lemma
εἰρηκότες;['ἐρῶ'];['λέγω'];['v-prpamn-'];['v-prpamn-'];lemma
εἰρηκότος;['ἐρῶ'];['λέγω'];['v-srpamg-'];['v-srpamg-'];lemma
εἰρηκὼς;['ἐρῶ'];['λέγω'];['v-srpamn-'];['v-srpamn-'];lemma
εἰρημένα;['λέγω', 'ἐρῶ'];['λέγω'];['v-prpena-', 'v-prpenn-'];['v-prpena-', 'v-prpenn-'];lemma
εἰρημέναι;['ἐρῶ'];['λέγω'];['v-prpefn-'];['v-prpefn-'];lemma
εἰρημέναις;['ἐρῶ'];['λέγω'];['v-prpefd-'];['v-prpefd-'];lemma
εἰρημένας;['ἐρῶ'];['λέγω'];['v-prpefa-'];['v-prpefa-'];lemma
εἰρημένην;['ἐρῶ'];['λέγω'];['v-srpefa-'];['v-srpefa-'];lemma
εἰρημένης;['ἐρῶ'];['λέγω'];['v-srpefg-'];['v-srpefg-'];lemma
εἰρημένοις;['ἐρῶ'];['λέγω'];['v-prpemd-', 'v-prpend-'];['v-prpemd-', 'v-prpend-'];lemma
εἰρημένον;['ἐρῶ'];['λέγω'];['v-srpema-', 'v-srpena-', 'v-srpenn-'];['v-srpema-', 'v-srpena-', 'v-srpenn-'];lemma
εἰρημένου;['ἐρῶ'];['λέγω'];['v-srpeng-'];['v-srpeng-'];lemma
εἰρημένους;['ἐρῶ'];['λέγω'];['v-prpema-'];['v-prpema-'];lemma
εἰρημένων;['ἐρῶ'];['λέγω'];['v-prpefg-', 'v-prpemg-', 'v-prpeng-'];['v-prpefg-', 'v-prpemg-', 'v-prpeng-'];lemma
εἰρημένῃ;['ἐρῶ'];['λέγω'];['v-srpefd-'];['v-srpefd-'];lemma
εἰρημένῳ;['ἐρῶ'];['λέγω'];['v-srpemd-'];['v-srpemd-'];lemma
εἰρομένου;['εἴρω', 'εἴρω2'];['εἴρω'];['v-sppemg-', 'v-sppmmg-'];['v-sppemg-', 'v-sppmmg-'];lemma
εἰρῆσθαι;['εἰρέω', 'ἐρῶ'];['λέγω'];['v--fnm---', 'v--pne---', 'v--rne---'];['v--fnm---', 'v--pne---', 'v--rne---'];lemma
εἰσδῦναι;['εἰσδύνω'];['εἰσδύω'];['v--ana---'];['v--ana---'];lemma
εἰσιέναι;['εἰσέρχομαι', 'εἰσίημι', 'εἴσειμι'];['εἰσίημι', 'εἴσειμι'];['v--pna---'];['v--pna---'];lemma
εἰσιδόντας;['εἰσ-εἶδον'];['εἰσοράω'];['v-papama-'];['v-papama-'];lemma
εἰσιόντας;['εἰσέρχομαι', 'εἴσειμι'];['εἴσειμι'];['v-pppama-'];['v-pppama-'];lemma
εἰσιόντες;['εἰσέρχομαι', 'εἴσειμι'];['εἴσειμι'];['v-pppamn-'];['v-pppamn-'];lemma
εἰσῄει;['εἰσέρχομαι', 'εἴσειμι'];['εἴσειμι'];['v3siia---'];['v3siia---'];lemma
εἰσῄειν;['εἰσέρχομαι', 'εἴσειμι'];['εἴσειμι'];['v1siia---'];['v1siia---'];lemma
εἰωθὸς;['εἴωθα', 'ἔθω'];['ἔθω'];['v-srpana-', 'v-srpann-'];['v-srpana-', 'v-srpann-'];lemma
εἱλωτείαν;['Εἱλωτεία'];['εἱλωτεία'];['n-s---fa-'];['n-s---fa-'];lemma
εἱλωτείας;['Εἱλωτεία'];['εἱλωτεία'];['n-p---fa-'];['n-p---fa-'];lemma
εἱρχθήτω;['ἔργω1'];['ἔργω'];['v3samp---'];['v3samp---'];lemma
εἴ;['εἰ', 'εἴ'];['εἰ'];['c--------'];['c--------'];lemma
εἴασε;['εἰάζω', 'ἐάω'];['ἐάω'];['v3saia---'];['v3saia---'];lemma
εἴασεν;['εἰάζω', 'ἐάω'];['ἐάω'];['v3saia---'];['v3saia---'];lemma
εἴδομεν;['εἶδον', 'οἶδα'];['ὁράω'];['v1paia---', 'v1prsa---'];['v1paia---', 'v1prsa---'];lemma
εἴη;['εἰμί', 'ἐάω'];['εἰμί'];['v2spma---', 'v3siia---', 'v3spoa---'];['v2spma---', 'v3siia---', 'v3spoa---'];lemma
εἴης;['εἰμί', 'ἐάω'];['εἰμί'];['v2siia---', 'v2spoa---'];['v2siia---', 'v2spoa---'];lemma
εἴθ᾽;['εἴθ᾽'];['εἴτε'];['c--------'];['c--------'];lemma
εἴκειν;['εἴκω', 'ἔοικα'];['ἔοικα'];['v--pna---', 'v--rna---'];['v--pna---', 'v--rna---'];lemma
εἴξας;['εἴκω2'];['εἴκω'];['v-sapamn-'];['v-sapamn-'];lemma
εἴπας;['εἶπον'];['λέγω'];['v-saiamn-', 'v-sapamn-'];['v-saiamn-', 'v-sapamn-'];lemma
εἴπειέ;['εἶπον'];['λέγω'];['v3saoa---'];['v3saoa---'];lemma
εἴπητε;['εἶπον'];['λέγω'];['v2pasa---'];['v2pasa---'];lemma
εἴποι;['εἶπον', 'λέγω'];['λέγω'];['v3saoa---'];['v3saoa---'];lemma
εἴποιεν;['εἶπον', 'λέγω'];['λέγω'];['v3paoa---'];['v3paoa---'];lemma
εἴποιμʼ;['εἴπον'];['λέγω'];['v1saoa---'];['v1saoa---'];lemma
εἴποιμεν;['εἶπον'];['λέγω'];['v1paoa---'];['v1paoa---'];lemma
εἴποιμι;['εἶπον'];['λέγω'];['v1saoa---'];['v1saoa---'];lemma
εἴποιμ᾽;['εἶπον'];['λέγω'];['v1saoa---'];['v1saoa---'];lemma
εἴπομεν;['εἶπον'];['λέγω'];['v1paia---', 'v1pasa---'];['v1paia---', 'v1pasa---'];lemma
εἴπω;['εἶπον'];['λέγω'];['v1sasa---'];['v1sasa---'];lemma
εἴπωμεν;['εἶπον'];['λέγω'];['v1pasa---'];['v1pasa---'];lemma
εἴπωσι;['εἶπον'];['λέγω'];['v3pasa---'];['v3pasa---'];lemma
εἴπῃ;['εἶπον'];['λέγω'];['v3sasa---'];['v3sasa---'];lemma
εἴπῃς;['εἶπον'];['λέγω'];['v2sasa---'];['v2sasa---'];lemma
εἴργειν;['ἔργω1'];['ἔργω'];['v--pna---'];['v--pna---'];lemma
εἴργεσθαι;['ἔργω1'];['ἔργω'];['v--pne---'];['v--pne---'];lemma
εἴργετο;['ἔργω1'];['ἔργω'];['v3siie---'];['v3siie---'];lemma
εἴργοντο;['ἔργω1'];['ἔργω'];['v3piie---'];['v3piie---'];lemma
εἴργων;['ἔργω1'];['ἔργω'];['v-sppamn-'];['v-sppamn-'];lemma
εἴργωσι;['ἔργω1'];['ἔργω'];['v3ppsa---'];['v3ppsa---'];lemma
εἴρετο;['εἴρομαι', 'εἴρω', 'εἴρω2', 'ἔρομαι'];['εἴρω', 'ἔρομαι'];['v3siie---', 'v3siim---'];['v3siie---', 'v3siim---'];lemma
εἴρετό;['εἴρω', 'εἴρω2', 'ἔρομαι'];['εἴρω', 'ἔρομαι'];['v3siie---', 'v3siim---'];['v3siie---', 'v3siim---'];lemma
εἴρηκα;['λέγω', 'ἐρῶ'];['λέγω'];['v1sria---'];['v1sria---'];lemma
εἴρηκας;['ἐρῶ'];['λέγω'];['v2sria---'];['v2sria---'];lemma
εἴρηκε;['ἐρῶ'];['λέγω'];['v2srma---', 'v3sria---'];['v2srma---', 'v3sria---'];lemma
εἴρην;['εἴρην', 'εἶρην', 'εἶρος'];['εἴρην'];['n-s---mn-', 'n-s---na-'];['n-s---mn-', 'n-s---na-'];lemma
εἴρηνται;['ἐρῶ'];['λέγω'];['v3prie---'];['v3prie---'];lemma
εἴρηταί;['εἴρω2', 'ἐρῶ'];['λέγω'];['v3spsm---', 'v3srie---'];['v3spsm---', 'v3srie---'];lemma
εἴρηται;['εἴρω', 'εἴρω2', 'ἐρῶ', 'ἔρομαι'];['λέγω'];['v3sasm---', 'v3spie---', 'v3spim---', 'v3spse---', 'v3srie---'];['v3sasm---', 'v3spie---', 'v3spim---', 'v3spse---', 'v3srie---'];lemma
εἴρητο;['λέγω', 'ἐρῶ'];['λέγω'];['v3slie---', 'v3slim---'];['v3slie---', 'v3slim---'];lemma
εἴρξουσι;['ἔργω1'];['ἔργω'];['v3pfia---'];['v3pfia---'];lemma
εἴσεσθε;['εἰσίημι', 'οἶδα'];['οἶδα'];['v2paim---', 'v2pamm---', 'v2pfim---'];['v2paim---', 'v2pamm---', 'v2pfim---'];lemma
εἴσεται;['εἶμι', 'οἶδα'];['οἶδα'];['v3sfim---'];['v3sfim---'];lemma
εἴσιδε;['εἰσ-εἶδον'];['εἰσοράω'];['v3saia---'];['v3saia---'];lemma
εἴσπλου;['εἰσπλοος', 'εἴσπλοος'];['εἴσπλοος'];['n-s---mg-'];['n-s---mg-'];lemma
εἴσω;['εἴσω'];['ἔσω'];['d--------'];['d--------'];lemma
εἴτε;['εἴτε', 'τε'];['εἴτε'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
εἶδέ;['εἶδον'];['ὁράω'];['v3saia---'];['v3saia---'];lemma
εἶδε;['εἶδον', 'ὁράω'];['ὁράω'];['v3saia---'];['v3saia---'];lemma
εἶδες;['εἶδον'];['ὁράω'];['v2saia---'];['v2saia---'];lemma
εἶδον;['εἶδον', 'ὁράω'];['ὁράω'];['v1saia---', 'v3paia---'];['v1saia---', 'v3paia---'];lemma
εἶδόν;['εἶδον', 'ὁράω'];['ὁράω'];['v1paia---', 'v1saia---'];['v1paia---', 'v1saia---'];lemma
εἶθ᾽;['εἴτα', 'εἴτε', 'εἶτα'];['εἶτα'];['c--------', 'd--------'];['c--------', 'd--------'];lemma
εἶπαν;['εἶπον'];['λέγω'];['v3paia---'];['v3paia---'];lemma
εἶπας;['εἶπον', 'λέγω'];['λέγω'];['v-saiamn-', 'v2saia---'];['v-saiamn-', 'v2saia---'];lemma
εἶπε;['εἶπον', 'εἶπό', 'λέγω'];['λέγω'];['v2sama---', 'v3saia---'];['v2sama---', 'v3saia---'];lemma
εἶπεν;['εἶπον', 'λέγω'];['λέγω'];['v3saia---'];['v3saia---'];lemma
εἶπον;['εἶπον', 'λέγω'];['λέγω'];['v1saia---', 'v3paia---'];['v1saia---', 'v3paia---'];lemma
εἶπ᾽;['εἶπον'];['λέγω'];['v3saia---'];['v3saia---'];lemma
εἶργε;['ἔργω1'];['ἔργω'];['v3siia---'];['v3siia---'];lemma
εἶργον;['ἔργω1'];['ἔργω'];['v-sppann-', 'v3piia---'];['v-sppann-', 'v3piia---'];lemma
εἶρξαί;['ἔργω1'];['ἔργω'];['v--ana---'];['v--ana---'];lemma
εἶρξεν;['ἔργω1'];['ἔργω'];['v3saia---'];['v3saia---'];lemma
εἶς;['εἰμί', 'εἶμι'];['εἶμι'];['v2spia---'];['v2spia---'];lemma
εἶσιν;['εἴσειμι'];['εἶμι'];['v3piia---'];['v3piia---'];lemma
εἷρξαι;['ἔργω1'];['ἔργω'];['v--ana---'];['v--ana---'];lemma
εἷρξεν;['ἔργω', 'ἔργω1'];['ἔργω'];['v3saia---'];['v3saia---'];lemma
εὐγενέτας;['εὐγένητας'];['εὐγενέτης'];['a-s---mn-'];['a-s---mn-'];lemma
εὐεργετῶν;['εὐεργέτης', 'εὐεργετέω'];['εὐεργέτης'];['n-p---mg-', 'v-sppamn-'];['n-p---mg-', 'v-sppamn-'];lemma
εὐθέως;['εὐθέως', 'εὐθής', 'εὐθύς', 'εὐθύς1', 'εὐθύς2'];['εὐθέως'];['a--------', 'd--------'];['a--------', 'd--------'];lemma
εὐθεῖαν;['εὐθεῖα'];['εὐθύς'];['n-s---fa-'];['n-s---fa-'];lemma
εὐθυμάχων;['εὐθυμάχος'];['εὐθύμαχος'];['a-p---mg-'];['a-p---mg-'];lemma
εὐθυτέρα;['εὐθύς1'];['εὐθύς'];['a-s---fnc'];['a-s---fnc'];lemma
εὐθύνας;['εὐθύνω', 'εὔθυνα'];['εὔθυνα'];['n-p---fa-', 'v-sapamn-'];['n-p---fa-', 'v-sapamn-'];lemma
εὐθύς;['εὐθύς', 'εὐθύς2'];['εὐθύς'];['d--------'];['d--------'];lemma
