Forma;Lemma originale;Lemma corretto;Postag originale;Postag corretto;Tipo modifica
ἐλάττονας;['ἐλάσσων', 'ἐλαχύς'];['ἐλαχύς'];['a-p---fac', 'a-p---mac'];['a-p---fac', 'a-p---mac'];lemma
ἐλάττονος;['ἐλάσσων'];['ἐλαχύς'];['a-s---fgc', 'a-s---ngc'];['a-s---fgc', 'a-s---ngc'];lemma
ἐλάττοσι;['ἐλάσσων'];['ἐλαχύς'];['a-p---mdc'];['a-p---mdc'];lemma
ἐλάττους;['ἐλάσσων'];['ἐλαχύς'];['a-p---fac', 'a-p---fnc', 'a-p---mac', 'a-p---mnc'];['a-p---fac', 'a-p---fnc', 'a-p---mac', 'a-p---mnc'];lemma
ἐλάττων;['ἐλάσσων', 'ἐλασσόω'];['ἐλαχύς'];['a-s---fnc', 'a-s---mnc', 'v3piia---'];['a-s---fnc', 'a-s---mnc', 'v3piia---'];lemma
ἐλάχιστα;['ἐλάχιστος', 'ἐλαχύς'];['ἐλαχύς'];['a-p---na-', 'a-p---nas', 'a-p---nn-'];['a-p---na-', 'a-p---nas', 'a-p---nn-'];lemma
ἐλάχιστον;['ἐλάχιστος', 'ἐλαχύς'];['ἐλαχύς'];['a-s---ma-', 'a-s---na-', 'a-s---nas', 'a-s---nn-'];['a-s---ma-', 'a-s---na-', 'a-s---nas', 'a-s---nn-'];lemma
ἐλέγεσθε;['λέγω3'];['λέγω'];['v2piie---'];['v2piie---'];lemma
ἐλέγετε;['λέγω1'];['λέγω'];['v2piia---'];['v2piia---'];lemma
ἐλέγετο;['λέγω3'];['λέγω'];['v3siie---'];['v3siie---'];lemma
ἐλέγοντο;['λέγω3'];['λέγω'];['v3piie---'];['v3piie---'];lemma
ἐλέγχου;['ἔλεγχος2'];['ἔλεγχος'];['n-s---mg-'];['n-s---mg-'];lemma
ἐλέγχους;['ἔλεγχος2'];['ἔλεγχος'];['n-p---ma-'];['n-p---ma-'];lemma
ἐλέγχων;['ἔλεγχος2'];['ἔλεγχος'];['n-p---mg-'];['n-p---mg-'];lemma
ἐλέχθη;['λέγω3'];['λέγω'];['v3saip---'];['v3saip---'];lemma
ἐλέχθησαν;['λέγω2', 'λέγω3'];['λέγω'];['v3paip---'];['v3paip---'];lemma
ἐλαία;['ἔλαιον'];['ἐλαία'];['n-p---na-'];['n-p---na-'];lemma
ἐλαίῳ;['ἔλαιον', 'ἔλαιος'];['ἔλαιος'];['n-s---md-', 'n-s---nd-'];['n-s---md-', 'n-s---nd-'];lemma
ἐλαφηβολιῶνος;['̓Ελαφηβολιῶνος', 'ἐλαφηβολιών'];['ἐλαφηβολιών'];['n-s---mg-'];['n-s---mg-'];lemma
ἐλαχίστων;['ἐλάχιστος', 'ἐλαχύς'];['ἐλαχύς'];['a-p---fg-', 'a-p---mgs', 'a-p---ng-'];['a-p---fg-', 'a-p---mgs', 'a-p---ng-'];lemma
ἐλεήσαντας;['ἐλεάω'];['ἐλεέω'];['v-papama-'];['v-papama-'];lemma
ἐλεήσας;['ἐλεάω', 'ἐλεέω'];['ἐλεέω'];['v-sapamn-'];['v-sapamn-'];lemma
ἐλεήσειεν;['ἐλεάω'];['ἐλεέω'];['v3saoa---'];['v3saoa---'];lemma
