;form;lemmi;postag
211;ἂμ;['ἀνά'];['r--------']
212;ἂν;['ἄν'];['g--------']
213;ἂρ;['ἄρα'];['g--------']
214;ἂψ;['ἄψ'];['d--------']
215;ἄγεθ’;['ἄγε'];['g--------']
216;ἄγουσα;['ἄγω'];['v-sppafn-']
217;ἄγριον;['ἄγριος'];['a-s---fa-']
218;ἄγχι;['ἄγχι'];['r--------']
219;ἄγχ’;['ἄγχι'];['r--------']
220;ἄγων;['ἄγω'];['v-sppamn-']
221;ἄδυτον;['ἄδυτος'];['a-s---ma-', 'a-s---na-']
222;ἄειδον;['ἀείδω'];['v3piia---']
223;ἄκμητοι;['ἄκμητος'];['a-p---mn-']
224;ἄκος;['ἄκος'];['n-s---na-']
225;ἄκουσε;['ἀκούω'];['v3saia---']
226;ἄκρα;['ἄκρον'];['n-p---nn-', 'n-s---fn-']
227;ἄκροι;['ἄκρος'];['a-p---mn-']
228;ἄκρῳ;['ἄκρος'];['a-s---md-']
229;ἄλκαρ;['ἄλκαρ'];['n-s---na-']
230;ἄλλα;['ἄλλος'];['p-p---na-']
231;ἄλλαι;['ἄλλος'];['p-p---fn-']
232;ἄλλῃ;['ἄλλῃ'];['d--------']
233;ἄλλην;['ἄλλος'];['p-s---fa-']
234;ἄλλης;['ἄλλος'];['p-s---fg-']
235;ἄλλο;['ἄλλος'];['p-s---na-']
236;ἄλλοι;['ἄλλος'];['p-p---mn-']
237;ἄλλος;['ἄλλος'];['p-s---mn-']
238;ἄλλοτε;['ἄλλοτε'];['d--------']
239;ἄλλων;['ἄλλος'];['p-p---mg-']
240;ἄλοχοι;['ἄλοχος'];['n-p---fn-']
241;ἄλοχον;['ἄλοχος'];['n-s---fa-']
242;ἄλσεα;['ἄλσος'];['n-p---nn-', 'n-p---na-']
243;ἄλσεϊ;['ἄλσος'];['n-s---nd-']
244;ἄλσος;['ἄλσος'];['n-s---na-']
245;ἄλφιτα;['ἄλφιτον'];['n-p---na-']
246;ἄμβροτα;['ἄμβροτος'];['a-p---na-']
247;ἄμβροτον;['ἄμβροτος'];['a-s---na-']
248;ἄν;['ἄν'];['g--------']
249;ἄνα;['ἄναξ'];['n-s---mv-']
250;ἄνακτα;['ἄναξ'];['n-s---ma-']
251;ἄνακτι;['ἄναξ'];['n-s---md-']
252;ἄνακτος;['ἄναξ'];['n-s---mg-']
253;ἄναξ;['ἄναξ'];['n-s---mn-', 'n-s---mv-']
254;ἄνδρας;['ἀνήρ'];['n-p---ma-']
255;ἄνδρες;['ἀνήρ'];['n-p---mn-']
256;ἄνεμος;['ἄνεμος'];['n-s---mn-']
257;ἄνθεσιν;['ἄνθος'];['n-p---nd-']
258;ἄνθρωποι;['ἄνθρωπος'];['n-p---mv-']
259;ἄνθρωποί;['ἄνθρωπος'];['n-p---mn-']
260;ἄνωγμεν;['ἄνωγα'];['v1pria---']
261;ἄν’;['ἄνα'];['n-s---fd-']
262;ἄρ;['ἄρα'];['g--------']
263;ἄρα;['ἄρα'];['g--------']
264;ἄρισται;['ἀγαθός'];['a-p---fns']
265;ἄρουραν;['ἄρουρα'];['n-s---fa-']
266;ἄρχει;['ἄρχω'];['v3spia---']
267;ἄρ’;['ἄρα'];['g--------']
268;ἄσπετος;['ἄσπετος'];['a-s---fn-']
269;ἄφθονα;['ἄφθονος'];['a-p---nn-']
270;ἄψορροι;['ἄψορρος'];['a-p---mn-']
271;ἆλτο;['ἅλλομαι'];['v3saim---']
272;ἀγάγωσι;['ἄγω'];['v3pasa---']
273;ἀγάστονος;['ἀγάστονος'];['a-s---fn-']
274;ἀγαθός;['ἀγαθός'];['a-s---mn-']
275;ἀγακλυτὰ;['ἀγακλυτός'];['a-p---na-']
276;ἀγαλλομένη;['ἀγάλλω'];['v-sppmfn-']
277;ἀγγέλλουσι;['ἀγγέλλω'];['v3ppia---']
278;ἀγειρόμενοι;['ἀγείρω'];['v-pppmmn-']
279;ἀγειρομένων;['ἀγείρω'];['v-pppmmg-']
280;ἀγήρως;['ἀγήραος'];['a-p---ma-']
281;ἀγῇσιν;['ἀγάω'];['v3spsa---']
282;ἀγητή;['ἀγητός'];['a-s---fn-']
283;ἀγινήσουσι;['ἀγινέω'];['v3pfia---']
284;ἀγινήσουσ’;['ἀγινέω'];['v3pfia---']
285;ἀγκαλέουσιν;['ἀνακαλέω'];['v3ppia---']
286;ἀγλαὰ;['ἀγλαός'];['a-p---na-']
287;ἀγλαὸν;['ἀγλαός'];['a-s---na-']
288;ἀγὸς;['ἀγός'];['n-s---mn-']
289;ἀγόρευσον;['ἀγορεύω'];['v2sama---']
290;ἀγρομένοισι;['ἀγείρω'];['v-papmmd-']
291;ἀγχιάλη;['ἀγχίαλος'];['a-s---fn-']
292;ἀγχοτάτω;['ἀγχοτάτω'];['r--------']
293;ἀγχοῦ;['ἀγχοῦ'];['r--------']
294;ἀγῶνα;['ἀγών'];['n-s---ma-']
295;ἀδηκότες;['ἀδέω'];['v-prpamn-']
296;ἀέλπτοις;['ἄελπτος'];['a-p---fd-']
297;ἀείδειν;['ἀείδω'];['v--pna---']
298;ἀείδουσιν;['ἀείδω'];['v3ppia---']
299;ἀείδω;['ἀείδω'];['v1spia---']
300;ἀθάναται;['ἀθάνατος'];['a-p---fn-']
301;ἀθανάτῃσι;['ἀθάνατος'];['a-p---fd-']
302;ἀθανάτῃσιν;['ἀθάνατος'];['a-p---fd-']
303;ἀθανάτοισι;['ἀθάνατος'];['a-p---md-']
304;ἀθανάτοισιν;['ἀθάνατος'];['a-p---md-']
305;ἀθανάτους;['ἀθάνατος'];['a-p---ma-']
306;ἀθανάτων;['ἀθάνατος'];['a-p---mg-']
307;ἀθέσφατα;['ἀθέσφατος'];['a-p---na-']
308;ἀθρόοι;['ἀθρόος'];['a-p---mn-']
309;ἀκέων;['ἀκέων'];['a-s---mn-']
310;ἀκερσεκόμης;['ἀκερσεκόμης'];['a-s---mn-']
311;ἀκηδέα;['ἀκηδής'];['a-p---na-']
312;ἀκούσατε;['ἀκούω'];['v2pama---']
313;ἀκταί;['ἀκτή'];['n-p---fn-']
314;ἀλάλησθε;['ἀλάλημαι'];['v2ppim---']
315;ἀλέγοντες;['ἀλέγω'];['v-pppamn-']
316;ἀλλὰ;['ἀλλά'];['c--------']
317;ἀλλά;['ἀλλά'];['c--------']
318;ἀλλήλων;['ἀλλήλων'];['p-p---fg-']
319;ἀλλοδαποῖσι;['ἀλλοδαπός'];['a-p---md-']
320;ἀλλοτρίης;['ἀλλότριος'];['a-s---fg-']
321;ἀλλ’;['ἀλλά'];['c--------']
322;ἀλόχοισιν;['ἄλοχος'];['n-p---fd-']
323;ἀλόχους;['ἄλοχος'];['n-p---fa-']
324;ἀλόωνται;['ἀλάομαι'];['v3ppim---']
325;ἀλογήσει;['ἀλογέω'];['v3sfia---']
326;ἀλφηστάων;['ἀλφηστής'];['n-p---mg-']
327;ἀμάθοισιν;['ἄμαθος'];['n-p---fd-']
328;ἀμβροσίην;['ἀμβροσία'];['n-s---fa-']
329;ἀμειβόμεναι;['ἀμείβω'];['v-pppmfn-']
330;ἀμειβόμενος;['ἀμείβω'];['v-sppmmn-']
331;ἀμειβομένη;['ἀμείβω'];['v-sppmfn-']
332;ἀμήχανοι;['ἀμήχανος'];['a-p---mn-']
333;ἀμιχθαλόεσσα;['ἀμιχθαλόεις'];['a-s---fn-']
334;ἀμπελόεσσαν;['ἀμπελόεις'];['a-s---fa-']
335;ἀμύμονά;['ἀμύμων'];['a-s---ma-']
336;ἀμφὶ;['ἀμφί'];['r--------', 'd--------']
337;ἀμφιγεγηθὼς;['ἀμφιγηθέω'];['v-srpamn-']
338;ἀμφινέμεσθε;['ἀμφινέμομαι'];['v2ppim---']
339;ἀμφιρύτας;['ἀμφίρυτος'];['a-p---fa-']
340;ἀμφιρύτῃ;['ἀμφίρυτος'];['a-s---fd-']
341;ἀμφιφαείνει;['ἀμφιφαείνω'];['v3spia---']
342;ἀνὰ;['ἀνά'];['r--------']
343;ἀνάσσεις;['ἀνάσσω'];['v2spia---']
344;ἀναγκαίῃ;['ἀνάγκη'];['n-s---fd-']
